id,first,second,bandwidth
0,Portland,Seattle,100
1,Portland,SanFran,100
2,Seattle,Missoula,100
3,Seattle,SLC,100
4,SanFran,LosAngeles,100
5,SanFran,Reno,100
6,LosAngeles,LasVegas,100
7,LosAngeles,Phoenix,100
8,LasVegas,SLC,100
9,Phoenix,Tucson,100
10,Missoula,Mpolis,100
11,SLC,KanC,100
12,SLC,Tucson,100
13,SLC,Houston,100
14,Tucson,Houston,100
15,KanC,Tulsa,100
16,Tulsa,Dallas,100
17,Dallas,Houston,100
18,Houston,Jackson,10
19,Houston,BtnRge,100
20,Jackson,Atlanta,10
21,BtnRge,Jxnv,100
22,Jxnv,Atlanta,100
23,Atlanta,Memphis,10
24,Atlanta,Louisville,100
25,Atlanta,Charlotte,100
26,Mpolis,Starlight,100
27,Starlight,Chicago,100
28,KanC,Chicago,100
29,Chicago,Ind,100
30,Chicago,Detroit,100,
31,Ind,Cincinnati,100
32,Detroit,Cleveland,100
33,Cincinnati,Louisville,100
34,Cleveland,Pittsburgh,100
35,Charlotte,Raleigh,100
36,Raleigh,Ashburn,100
37,Ashburn,McLean,100
38,Pittsburgh,McLean,100
39,McLean,Phili,100
40,Phili,NewYork,100
41,Boston,NewYork,100
42,NewYork,Hartford,100
43,Hartford,Boston,100
44,Boston,Albany,100
45,Albany,Buffalo,100
46,Buffalo,Cleveland,100
